iter	F1	Logloss
0	0.6690349319	0.6321046982
1	0.6704075605	0.5750289862
2	0.678560051	0.5339062346
3	0.6786171575	0.4881996776
4	0.6657663741	0.4566773342
5	0.6609938734	0.4304157739
6	0.6592950933	0.4075179235
7	0.6588640275	0.3866730784
8	0.6620402498	0.3691545937
9	0.6605762474	0.3533750977
10	0.6523143165	0.3423144688
11	0.6563955571	0.3302007723
12	0.6566523605	0.3182269536
13	0.659042173	0.3089768817
14	0.6578571429	0.3002576555
15	0.6564285714	0.2928281373
16	0.6543075245	0.2877635542
17	0.6562386322	0.2818258412
18	0.6618444846	0.2761111189
19	0.6642625316	0.2701959188
20	0.6657081237	0.265536306
21	0.6685899748	0.2614348358
22	0.6692998205	0.2572379038
23	0.6692998205	0.2542443621
24	0.6697976879	0.2515780794
25	0.6714853632	0.249687087
26	0.6731672084	0.24732513
27	0.6717226436	0.2447161943
28	0.6722021661	0.2415415006
29	0.6717226436	0.2393615614
30	0.6743849493	0.238082623
31	0.6755973932	0.2365685247
32	0.6755780347	0.2351260409
33	0.6732097419	0.2344275774
34	0.675862069	0.2322166635
35	0.6780152119	0.2312392023
36	0.6746812386	0.2307139758
37	0.679956506	0.2297827155
38	0.6811909949	0.2282377077
39	0.6787790698	0.2276886828
40	0.6790258088	0.2255305455
41	0.68	0.2250443895
42	0.6809593023	0.2242323786
43	0.6821818182	0.2230225559
44	0.6838662791	0.2223616321
45	0.6831215971	0.2216728304
46	0.6838288615	0.2212158769
47	0.6857764877	0.2205682907
48	0.6862531737	0.2201977331
49	0.6872055092	0.2198328477
50	0.687477314	0.2193136905
51	0.6882032668	0.2189642439
52	0.6894049347	0.2183467072
53	0.6901306241	0.218049908
54	0.6896301668	0.2177410192
55	0.6901306241	0.2170909623
56	0.6906318083	0.2169123136
57	0.6920842411	0.2165933703
58	0.6942628903	0.2163347477
59	0.693565976	0.2159907673
60	0.6935366739	0.2154975504
61	0.6947674419	0.2149401594
62	0.6952104499	0.2146109368
63	0.694958288	0.2143881366
64	0.6949891068	0.2140161315
65	0.6940406977	0.2138645385
66	0.6952104499	0.2136762679
67	0.6937885943	0.2133182789
68	0.6947368421	0.2128488376
69	0.6957153232	0.212511585
70	0.696	0.2120645193
71	0.6957787482	0.2117495542
72	0.6979280262	0.211153059
73	0.6981474755	0.2107853417
74	0.6986201888	0.2105932746
75	0.6988739557	0.2098694392
76	0.7012704174	0.2091926598
77	0.7017416546	0.2089576579
78	0.7024284161	0.2086633105
79	0.7026831037	0.20834285
80	0.7036231884	0.2079734994
81	0.70409272	0.2077072097
82	0.70409272	0.2072424245
83	0.7043478261	0.2068829161
84	0.7053701016	0.2066744226
85	0.7053701016	0.2063573613
86	0.7067778181	0.206144868
87	0.7070340827	0.2058084609
88	0.7075027184	0.2052931231
89	0.7072463768	0.2050859777
90	0.7079261672	0.2050065081
91	0.7083936324	0.2048097784
92	0.7083936324	0.204653228
93	0.7103548154	0.2043887607
94	0.7098408104	0.2042075711
95	0.7100977199	0.2034144801
96	0.7095840868	0.2033157195
97	0.7100506146	0.2032341381
98	0.7097940007	0.2030114959
99	0.7100506146	0.2027463559
100	0.7113997114	0.2022036904
101	0.7116564417	0.2019598908
102	0.7117052023	0.2017690055
103	0.7112396097	0.2016278269
104	0.7126353791	0.2013523032
105	0.7123782028	0.2012073991
106	0.7126353791	0.200943686
107	0.7123782028	0.2008505227
108	0.7130497477	0.200053755
109	0.7142857143	0.1998683517
110	0.7145434861	0.19964581
111	0.7157818707	0.1995076094
112	0.7145953757	0.1992857167
113	0.7174855491	0.1989862299
114	0.7179487179	0.1987565407
115	0.7179487179	0.1984531679
116	0.7179487179	0.1982989591
117	0.7186710004	0.1980843887
118	0.7197106691	0.1978978407
119	0.7186710004	0.197498507
120	0.7188740527	0.1971303083
121	0.7195958138	0.1969001158
122	0.7200577201	0.1966334001
123	0.7196531792	0.1963510233
124	0.7195958138	0.1961436546
125	0.7195958138	0.1959922131
126	0.7198555957	0.1958365799
127	0.7196531792	0.1956625223
128	0.7201155652	0.1954609454
129	0.7214182344	0.1953125001
130	0.7212165098	0.1951417297
131	0.7214182344	0.1950224328
132	0.7211573237	0.194967778
133	0.7208966016	0.1948516912
134	0.7228044814	0.1946358741
135	0.7220816769	0.1943914853
136	0.7225433526	0.1941908035
137	0.7228044814	0.1940759196
138	0.7228044814	0.193902041
139	0.7231270358	0.1938304715
140	0.7231270358	0.193628488
141	0.7231270358	0.1936180733
142	0.7238508867	0.1934509708
143	0.7236508511	0.1932323533
144	0.7243752264	0.1928895178
145	0.7249003262	0.192739515
146	0.7253623188	0.19267965
147	0.7256252265	0.19232281
148	0.7256252265	0.192251698
149	0.726613488	0.1920665598
150	0.7268770403	0.1918920277
151	0.7274047187	0.1918363177
152	0.7270750272	0.1917151766
153	0.7282608696	0.1915650893
154	0.7287214777	0.1913752809
155	0.7310195228	0.191220661
156	0.7306299783	0.191128046
157	0.7308946034	0.1909191903
158	0.731884058	0.1908071643
159	0.7321493295	0.1904099556
160	0.7330677291	0.1902505263
161	0.7335991301	0.1899409602
162	0.7335991301	0.1898954105
163	0.7337921043	0.1896662424
164	0.7342505431	0.1894448726
165	0.735698769	0.1893140189
166	0.73470865	0.18916332
167	0.7361563518	0.1889462325
168	0.7371469949	0.188775152
169	0.7376040536	0.1885274089
170	0.7378711079	0.1884174764
171	0.7381383557	0.1882487095
172	0.7390517553	0.188123633
173	0.7390517553	0.1878434016
174	0.7384057971	0.187627052
175	0.7381383557	0.1873957051
176	0.7389412618	0.1871507651
177	0.7392092855	0.1869249986
178	0.7384057971	0.1866360845
179	0.7386734324	0.1863155361
180	0.7396664249	0.1861530855
181	0.740203193	0.1860370446
182	0.7398550725	0.1858509601
183	0.7399347116	0.1856994387
184	0.7408481334	0.1855716789
185	0.7408481334	0.1855435808
186	0.7413043478	0.1853702984
187	0.7422157857	0.1851353986
188	0.7422157857	0.1850287487
189	0.7432089823	0.1848104568
190	0.7441187115	0.1847103604
191	0.7464737794	0.1845516003
192	0.7452966715	0.1843833189
193	0.7474674385	0.1841653155
