iter	Passed	Remaining
0	141	70803
1	149	37169
2	161	26807
3	173	21565
4	186	18463
5	199	16442
6	213	15034
7	226	13957
8	240	13097
9	251	12347
10	263	11709
11	273	11123
12	281	10547
13	288	10020
14	294	9533
15	300	9104
16	307	8734
17	313	8397
18	319	8096
19	326	7832
20	332	7588
21	339	7374
22	345	7170
23	352	6988
24	358	6815
25	365	6661
26	372	6518
27	378	6374
28	384	6246
29	390	6124
30	397	6012
31	404	5911
32	410	5810
33	417	5721
34	424	5633
35	430	5549
36	437	5470
37	443	5394
38	450	5322
39	456	5251
40	462	5179
41	469	5114
42	475	5050
43	481	4989
44	487	4929
45	493	4874
46	499	4817
47	505	4761
48	512	4712
49	518	4666
50	524	4618
51	530	4574
52	537	4532
53	543	4491
54	550	4450
55	556	4410
56	562	4373
57	569	4337
58	575	4301
59	581	4267
60	588	4234
61	594	4201
62	600	4167
63	607	4137
64	613	4106
65	619	4076
66	626	4046
67	632	4020
68	639	3995
69	646	3970
70	652	3945
71	659	3919
72	665	3893
73	672	3869
74	678	3844
75	685	3821
76	691	3797
77	697	3775
78	704	3753
79	710	3731
80	717	3712
81	724	3690
82	730	3670
83	737	3650
84	743	3630
85	750	3611
86	756	3591
87	763	3572
88	769	3553
89	775	3534
90	782	3515
91	788	3496
92	794	3476
93	800	3458
94	807	3440
95	813	3423
96	819	3404
97	825	3387
98	832	3371
99	838	3355
100	846	3342
101	852	3327
102	859	3311
103	865	3295
104	871	3279
105	878	3265
106	885	3251
107	891	3236
108	897	3220
109	904	3205
110	910	3190
111	916	3176
112	923	3161
113	929	3147
114	935	3133
115	942	3119
116	948	3104
117	954	3089
118	960	3076
119	967	3063
120	973	3049
121	979	3035
122	986	3022
123	992	3009
124	999	2997
125	1005	2984
126	1011	2971
127	1017	2958
128	1024	2946
129	1030	2933
130	1037	2921
131	1043	2908
132	1049	2895
133	1055	2884
134	1062	2873
135	1069	2862
136	1075	2850
137	1082	2838
138	1088	2828
139	1095	2816
140	1101	2804
141	1106	2789
142	1112	2777
143	1118	2765
144	1124	2754
145	1131	2742
146	1137	2730
147	1143	2720
148	1149	2708
149	1155	2697
150	1162	2687
151	1169	2676
152	1175	2665
153	1181	2655
154	1188	2645
155	1195	2635
156	1201	2625
157	1208	2615
158	1214	2605
159	1221	2594
160	1227	2584
161	1234	2574
162	1240	2565
163	1247	2555
164	1253	2545
165	1260	2535
166	1266	2525
167	1273	2516
168	1280	2507
169	1286	2497
170	1292	2486
171	1299	2477
172	1305	2467
173	1312	2458
174	1318	2448
175	1325	2439
176	1331	2429
177	1337	2420
178	1344	2411
179	1351	2401
180	1357	2392
181	1363	2382
182	1370	2373
183	1376	2364
184	1383	2354
185	1389	2345
186	1395	2336
187	1402	2327
188	1408	2318
189	1415	2309
190	1422	2300
191	1428	2291
192	1434	2281
193	1440	2272
194	1447	2264
195	1454	2255
196	1460	2246
197	1466	2236
198	1473	2228
199	1479	2219
200	1485	2210
201	1492	2201
202	1499	2193
203	1505	2184
204	1512	2175
205	1518	2167
206	1525	2159
207	1532	2150
208	1538	2141
209	1545	2133
210	1551	2125
211	1558	2116
212	1564	2108
213	1571	2099
214	1577	2091
215	1584	2083
216	1591	2075
217	1597	2066
218	1603	2058
219	1610	2049
220	1616	2041
221	1623	2032
222	1630	2024
223	1637	2017
224	1643	2008
225	1650	2000
226	1656	1992
227	1662	1983
228	1669	1975
229	1675	1967
230	1682	1959
231	1688	1950
232	1695	1942
233	1701	1934
234	1708	1926
235	1714	1918
236	1721	1910
237	1728	1902
238	1734	1894
239	1740	1885
240	1747	1877
241	1753	1869
242	1760	1862
243	1767	1854
244	1773	1845
245	1780	1837
246	1786	1829
247	1792	1821
248	1799	1813
249	1805	1805
250	1812	1798
251	1819	1790
252	1825	1782
253	1832	1774
254	1839	1767
255	1846	1759
256	1852	1751
257	1858	1743
258	1865	1735
259	1872	1728
260	1879	1721
261	1886	1713
262	1892	1705
263	1899	1697
264	1905	1690
265	1912	1682
266	1919	1674
267	1925	1667
268	1932	1659
269	1939	1651
270	1946	1644
271	1952	1636
272	1958	1628
273	1965	1621
274	1971	1613
275	1978	1605
276	1985	1598
277	1991	1590
278	1998	1582
279	2004	1575
280	2011	1567
281	2017	1559
282	2024	1552
283	2031	1544
284	2037	1537
285	2044	1529
286	2050	1522
287	2057	1514
288	2064	1506
289	2070	1499
290	2076	1491
291	2083	1483
292	2090	1476
293	2096	1469
294	2103	1461
295	2109	1453
296	2115	1446
297	2122	1438
298	2128	1431
299	2135	1423
300	2141	1416
301	2148	1408
302	2154	1401
303	2161	1393
304	2167	1385
305	2174	1378
306	2181	1371
307	2188	1363
308	2194	1356
309	2200	1348
310	2207	1341
311	2213	1333
312	2219	1326
313	2226	1318
314	2232	1311
315	2239	1304
316	2246	1296
317	2252	1289
318	2259	1281
319	2265	1274
320	2272	1267
321	2278	1259
322	2285	1252
323	2292	1245
324	2299	1238
325	2305	1230
326	2312	1223
327	2319	1216
328	2325	1208
329	2332	1201
330	2338	1193
331	2345	1186
332	2351	1179
333	2358	1172
334	2365	1165
335	2372	1157
336	2378	1150
337	2385	1143
338	2391	1135
339	2397	1128
340	2403	1120
341	2410	1113
342	2416	1106
343	2423	1098
344	2429	1091
345	2435	1084
346	2442	1076
347	2448	1069
348	2455	1062
349	2462	1055
350	2469	1048
351	2475	1040
352	2482	1033
353	2488	1026
354	2495	1019
355	2501	1011
356	2508	1004
357	2514	997
358	2520	990
359	2527	982
360	2533	975
361	2540	968
362	2547	961
363	2553	953
364	2559	946
365	2567	940
366	2576	933
367	2584	926
368	2591	920
369	2598	912
370	2604	905
371	2610	898
372	2616	890
373	2623	883
374	2629	876
